featureName,parm37,parm37_lgg,parm37_gbm,parm37_conjugate,parm46,parm46_lgg,parm46_gbm,parm46_conjugate,parm55,parm55_lgg,parm55_gbm,parm55_conjugate,parm64,parm64_lgg,parm64_gbm,parm64_conjugate,parm73,parm73_lgg,parm73_gbm,parm73_conjugate
lbp.3D.k_firstorder_90Percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LLH_glcm_Idmn,52,47,51,46,76,74,73,71,100,89,93,83,117,99,104,90,128,98,102,80
wavelet.HHL_glszm_SizeZoneNonUniformity,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLL_glcm_Contrast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log.sigma.5.mm.3D_firstorder_RootMeanSquared,8,8,6,6,6,6,6,6,5,5,4,4,8,7,4,3,2,2,1,1
wavelet.LHH_gldm_LargeDependenceEmphasis,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
log.sigma.5.mm.3D_glrlm_GrayLevelNonUniformityNormalized,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
logarithm_glrlm_ShortRunEmphasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lbp.3D.k_firstorder_10Percentile,30,30,28,28,30,28,29,27,22,20,21,19,22,15,20,14,5,5,4,4
wavelet.HLH_glcm_Imc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHL_glrlm_GrayLevelVariance,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0
exponential_firstorder_Energy,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
log.sigma.5.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,1,1,1,1,0,0,0,0,2,2,2,2,2,1,2,1,7,7,6,6
wavelet.HLL_firstorder_Mean,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
