featureName,parm37,parm37_lgg,parm37_gbm,parm37_conjugate,parm46,parm46_lgg,parm46_gbm,parm46_conjugate,parm55,parm55_lgg,parm55_gbm,parm55_conjugate,parm64,parm64_lgg,parm64_gbm,parm64_conjugate,parm73,parm73_lgg,parm73_gbm,parm73_conjugate
wavelet.HHH_glrlm_GrayLevelNonUniformityNormalized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HHL_firstorder_InterquartileRange,3,2,2,1,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0
wavelet.LLH_glszm_HighGrayLevelZoneEmphasis,4,3,5,3,3,2,2,1,11,8,9,5,14,6,6,1,13,5,4,1
gradient_glrlm_LowGrayLevelRunEmphasis,24,21,23,20,24,22,23,21,18,15,13,11,18,14,13,11,7,4,5,2
log.sigma.5.mm.3D_glcm_DifferenceVariance,4,4,4,4,2,1,2,1,3,1,3,1,1,1,1,1,0,0,0,0
wavelet.LHL_glszm_GrayLevelNonUniformityNormalized,117,97,106,91,166,132,149,121,192,153,155,121,200,146,153,112,210,133,119,77
lbp.3D.m1_firstorder_RobustMeanAbsoluteDeviation,46,32,41,29,72,56,69,54,84,76,70,64,99,72,74,52,112,63,70,43
lbp.3D.k_firstorder_Range,41,33,31,27,38,35,32,29,39,32,31,25,35,19,29,15,27,15,17,7
wavelet.HHL_glcm_Idmn,28,27,27,26,25,20,21,18,26,20,21,17,26,14,20,10,16,8,3,2
wavelet.LLL_glcm_SumSquares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lbp.3D.k_firstorder_90Percentile,6,4,4,3,2,0,1,0,3,3,4,3,5,4,4,4,2,2,1,1
wavelet.LLH_glcm_Idmn,77,56,66,48,101,85,91,77,136,102,96,77,188,126,127,85,220,140,132,84
wavelet.HHL_glszm_SizeZoneNonUniformity,3,2,2,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
wavelet.HLL_glcm_Contrast,0,0,0,0,2,1,2,1,3,3,3,3,1,0,1,0,1,0,1,0
